comment,Annot
"['Did he said Omar?', 'Really  Omar is best congresswoman .', 'Omar is not what ur saying', 'Bla bla bla', 'Did u oboligaze to Ilhan omar']",RIGHT
"['Gabriel — love the patriotic mask', 'Shark mutant - the eyes were added just to make you guys fall for it. ', 'Teaching CANCEL CULTURE to students AND media giving voice ... reason why education needs a reset.', 'Show start - following the fear narrative on “riots” “mayhem “ due to Trump. You’re helping to not talk about Biden and how much WORSE it’s going to be.', 'Thank you all for clarifying some of the issues that wrongfully keep Assange in solitary. To the American ppl all wrapped up in Trump and other made-up diversions — gleefully executed by our gvmnt reps — it is appreciated that we can have material to discuss w/family n friends.']",RIGHT
"[""Even if Dems pass it, I'm still afraid of a GOP attorney general in some state filing a lawsuit to declare it unconstitutional and with the way the courts are now it'd probably succeed."", 'And the people in his district will re-elect him (unfortunately)', ""Democrats have got to get rid of those feelings that they have to be nice to the GOP! It hasn't worked in the past and it will not work in the future!"", 'Ok so Biden? Dems? Quit playing nice all of the time, get a spine and appoint some jugdes who have a track record of rulings that favor human rights and our four freedoms!', 'Common, every day Americans should really go on a tax revolt by refusing to pay property taxes, filing income tax returns etc. Of course something like this would take millions of people to do it. There are a times I think this would be about the only way the powers that be would listen.']",RIGHT
"['Donald Trump is a grifter for years to decades.He even have his own charity foundation and he been moving foundation moneys around and around finally going back into his own pocket.', 'Donald Trump is a Grifter and always have craziness also very impulsive behavior decision reaction right at that moment.He never thinking ahead and plannings for anythings for fully into successfully thoughts through..', 'It is crazy and very sad to see that people are dying in massive amounts in any countries.But all of those politicians in India should have been of preparedness for this.Because they seen it happened already across the world in many countries.India must have to putting into emergency laws now to have Lock down,masks wearing and social distancing .Starting massive amounts of vaccinated against the Covid Virus for the old people and the infected with the virus immediately first.', 'Uses the Air Forces and air bases of the US and NATO allies countries aircrafts near countries by helping those Afghanistan militaries forces by bombing and heavy fighting helicopters guns ships supporting and helping them fighting heavy Terrorist and Taliban fighters forces where they needed it enough to keeping them territories safe from the Taliban forces and terrorist activities around the world down.That should be the best solution for Afghanistan for a few years.See how it turns out.', 'Tucker carlson tonight show in his racist ranting.That nothing for Fox New for years.']",RIGHT
"['Damn, that sucks, I really enjoy there show', 'Bro, I started dying when he was like, ""this piece of wood is now mine"".', 'scientists- does research', 'So smug', 'Shoes Twitter is fucking hilarious, I’d love to see her on Krystal Kyle and friends']",RIGHT
"['Totally different title than usual tired of hating?', 'Running as the trump candidate... That came from your mouth lmao', 'Good strategist to say one is outnumbered to flush them to ur side', 'I remember the left being afraid of trump causing nuclear war', ""As if these people never party and if they didn't thats why they are possibly so miserable and jealous""]",RIGHT
"['i am a huge vaush fan. i sub as often as i can, so im even giving him money. he has some shit takes. ive honestly found myself furious at him when he wants to do 10 minutes on how white people can experience racism and how bad it is.... i also recognize that his position comes from a place of ignorance, and the reason why i support him is because hes a good person and has demonstrated time and time again that hes willing to learn. if he ever held firm against overwhelming evidence contrary to his position, id abandon him so quick, but thats not him, part of enjoying his content is watching him grow.', 'i love how sam has turned steven crowders ""take off your gasses"" because of racism, to its now sams super power. sam is secretly superman. anyone watching knows this.', 'please have vaush on sometime. hes really a good guy.', 'these three people are literally the best looking people on the internet. sam is fucking clark kent. no lie. the dudes superman under that shirt.', 'would he also be getting profits from his book? would this be a way in which he is laundering campaign money into personal income?']",RIGHT
"['I AM NOT AN AMERICAN JUST AN OLD MAN .AS FAR AS AM CONCERN THIS POLICE OFFICER IS A KILLER,AND HE  SHOULD GET LIFE IN PRISON .', 'This Medical Doctor must be  in locked up .', 'A  PRESIDENT FOR USA, MISTAKE THAT COST LIVES IN AFGHANISTAN  ,WHO VOTED FOR YOU BIDEN????', 'People have suffered enough. Israel must live in this world; Israel can only defend itself .  War is war, who am i to judge.', 'God bless his soul.   My condolence to the Royal Family, ex Petty Officer HMS.']",RIGHT
"['100%...well said bebeh....', 'iluvit...', 'o wow frencesca....', 'that horse again.....', 'so well said bro....iluvit...']",RIGHT
"[""As a Democrat. I respect Republican's like Adam Kinzinger, Mitt Romney, Bill Cassidy, Liz Chaney, and others. These Republican's voted their conscious. They stood up for their values and not for political gain."", 'As a Democrat I respect Adam Kenzinger! Along with the other 7 Senator Republicans who voted to impeach Donald Trump! I think that they are standing up for their values and what is right! Instead of political gain.', 'As a democrat. I respect Sen. Bill Cassidy, Adam Kinzenger, Liz Chaney, Mitt Romney. They are trying to keep their Republican values instead of trying to get political gain.', 'Yes, he needs to be held accountable. This cannot be just a slap on the hand.', 'Trump, Ted Cruz, and Josh Hawley should be looked at for delegitimizing the votes and fueling the riots.']",RIGHT
